#,SMILES,hACC1 IC50(µM) ± SEM,hACC2 IC50(µM) ± SEM
1,O=C(c1c2ccccc2cc2ccccc12)N1CCC(N2CCC[C@@H](C(=O)N3CCOCC3)C2)CC1,0.41 ± 0.06,0.038 ± 0.008
9a,CC(C#Cc1cnc(Oc2ccc(Oc3ccccc3)cc2)s1)NC(N)=O,>30,0.026 ± 0.002
9b,CC(=O)NC(C)C#Cc1cnc(Oc2ccc(Oc3ccccc3)cc2)s1,0.26 ± 0.06,0.011 ± 0.003
9c,CC(=O)NC(C)C#Cc1cnc(Oc2ccc(OC(C)C)cc2)s1,>30,0.019 ± 0.002
9d,CC(=O)NC(C)C#Cc1cnc(Oc2ccc(SC(C)C)cc2)s1,0.37 ± 0.06,0.055 ± 0.025
9e,CC(=O)NC(C)C#Cc1cnc(Oc2ccc(NC(C)C)cc2)s1,>30,0.15 ± 0.02
9f,CC(=O)NC(C)C#Cc1cnc(Oc2ccc(C(C)C)cc2)s1,1.25 ± 0.27,>30
9g,CC(=O)NC(C)C#Cc1cnc(Oc2ccc(OC(C)C)nc2)s1,0.39 ± 0.26,0.015 ± 0.003
9h,CC(=O)NC(C)C#Cc1cnc(Sc2ccc(OC(C)C)cc2)s1,>30,0.069 ± 0.007
9i,CC(=O)NCC#Cc1cnc(Oc2ccc(OC(C)C)cc2)s1,>30,1.73 ± 0.48
9j,CC(=O)NC(C#Cc1cnc(Oc2ccc(OC(C)C)cc2)s1)C1CC1,>30,0.84 ± 0.006
9k,CC(O)C#Cc1cnc(Oc2ccc(Oc3ccccc3)cc2)s1,>30,0.60 ± 0.10
9l,CC(N)C#Cc1cnc(Oc2ccc(Oc3ccccc3)cc2)s1,>30,2.42 ± 0.13
9m,CNC(=O)NC(C)C#Cc1cnc(Oc2ccc(OC(C)C)cc2)s1,>30,0.030 ± 0.005
9n,COC(=O)NC(C)C#Cc1cnc(Oc2ccc(OC(C)C)cc2)s1,>30,0.096 ± 0.013
9o,COC(=O)N[C@@H](C)C#Cc1cnc(Oc2ccc(OC(C)C)cc2)s1,>30,1.51 ± 0.22
9p,COC(=O)N[C@@H](C)C#Cc1cnc(Oc2ccc(OC(C)C)cc2)s1,>30,0.038 ± 0.006
10,CC(=O)NC(C)C#Cc1csc(Oc2ccc(OC(C)C)cc2)n1,>30,>30
12,CC(=O)NC(C)C#Cc1ccc(Oc2ccc(OC(C)C)cc2)cc1,0.029 ± 0.003,0.006 ± 0.001